,MAE,RMSE
baseline_f1,1.4697552279422157,1.8694706433279473
baseline_f2,1.4636985245439196,1.8561734115954527
baseline_f3,1.4699550029003259,1.862279117789734
baseline_f4,1.4431538559029204,1.8325526054936274
baseline_f5,1.4808087602788191,1.8807850533704542
exp1_f1,1.5488895488186962,1.976136039993847
exp1_f2,1.5661265721578084,1.997448251632873
exp1_f3,1.5721148774355083,2.003785545270928
exp1_f4,1.55753334955363,1.9765704224649336
exp1_f5,1.577605151026647,1.997931245333015
exp2_f1,1.3692406392207006,1.7573911902732908
exp2_f2,1.750998862489255,2.1842191990264164
exp2_f3,1.7729813055971182,2.212155099843641
exp2_f4,0.8449526931289957,1.099187486151228
exp2_f5,1.7721459569636768,2.2102463616562424
exp3_f1,0.9171686540336376,1.2027817358466786
exp3_f2,0.9175163118425244,1.212510496556402
exp3_f3,0.9058237212817805,1.1869096787398241
exp3_f4,0.6873075649526535,0.9070794227130092
exp3_f5,0.8812895737389863,1.1506881733930463
exp4_f1,1.7365420543606425,2.1724128726635286
exp4_f2,1.7601830016576117,2.190875193451059
exp4_f3,0.9473107960414753,1.2596517968478744
exp4_f4,1.7792290147844252,2.2153935118035957
exp4_f5,1.6943231248277995,2.1245761086128923
exp5_f1,1.7230451952783685,2.1359396665974666
exp5_f2,1.745628770684049,2.1622781286534574
exp5_f3,1.765008820748891,2.190802282596678
exp5_f4,1.7568081904559245,2.190013067478394
exp5_f5,1.7588503631573278,2.182829143931565
exp6_f1,1.1406046544128408,1.4849329462801624
exp6_f2,1.1394703525540566,1.4858419258175914
exp6_f3,1.1459139320900618,1.496276078217699
exp6_f4,1.1458524847570695,1.4952158702364928
exp6_f5,1.150698890411955,1.4914901995487575
exp7_f1,1.0537274155863459,1.380762281357017
exp7_f2,1.081600021108168,1.4051340647160717
exp7_f3,1.1186923436937002,1.457953603311431
exp7_f4,1.0448692145941656,1.3646589531094768
exp7_f5,1.0362459646183864,1.3503932193710009
exp8_f1,0.984248854182951,1.2714596301591794
exp8_f2,1.7727278379166316,2.1847481433092764
exp8_f3,1.171862590077943,1.5334400555294927
exp8_f4,1.7741339830141873,2.195287154087776
exp8_f5,1.0357069759723956,1.3540731913742872
exp9_f1,0.991339112951764,1.3110175624970466
exp9_f2,0.9974740354638351,1.3000735057864272
exp9_f3,1.7809819246895124,2.2040115667782287
exp9_f4,1.093416664696703,1.4166382498211332
exp9_f5,0.9156215894733718,1.2241505797546688
